epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.6671,1.45651,2.40799,1.77192,0.66868,0.50686,0.59978,0.2928,1.63369,2.47754,2.28131,0.000545918,0.000545918,0.000545918
2,16.1679,1.47565,1.5856,1.73076,0.17059,0.33126,0.16418,0.05982,2.10978,7.00928,2.64663,0.00108795,0.00108795,0.00108795
3,23.3834,1.50521,1.49915,1.74111,0.55599,0.37013,0.38392,0.1584,2.06704,3.66676,2.93301,0.00161623,0.00161623,0.00161623
4,30.7898,1.52207,1.50584,1.75875,0.32475,0.36684,0.27437,0.12064,1.93761,4.13627,2.48315,0.00160511,0.00160511,0.00160511
5,38.2592,1.47814,1.41345,1.7059,0.45983,0.52939,0.48017,0.18896,2.04009,2.21944,2.49265,0.00158448,0.00158448,0.00158448
6,45.8348,1.41924,1.32685,1.69722,0.56027,0.53782,0.54916,0.25036,1.84822,1.86772,2.27216,0.00156385,0.00156385,0.00156385
7,53.1209,1.40394,1.30459,1.66934,0.53349,0.55435,0.54145,0.25906,1.72333,1.72143,2.0909,0.00154323,0.00154323,0.00154323
8,60.2853,1.37208,1.22379,1.63152,0.75926,0.57683,0.70298,0.3733,1.5888,1.47781,2.00513,0.0015226,0.0015226,0.0015226
9,67.8193,1.36974,1.23961,1.63453,0.72241,0.64501,0.71435,0.38027,1.59637,1.43926,2.06431,0.00150197,0.00150197,0.00150197
10,75.1357,1.34212,1.21791,1.61982,0.72687,0.66339,0.75542,0.42044,1.52642,1.27605,1.97409,0.00148134,0.00148134,0.00148134
11,82.4895,1.34738,1.19281,1.60362,0.68072,0.72537,0.75503,0.43092,1.57985,1.31112,1.94301,0.00146071,0.00146071,0.00146071
12,89.8872,1.33363,1.13354,1.59945,0.66773,0.72282,0.74956,0.43436,1.49782,1.24753,1.91554,0.00144008,0.00144008,0.00144008
13,97.2317,1.27538,1.10063,1.58222,0.77413,0.67272,0.77215,0.44439,1.4751,1.16876,1.91802,0.00141945,0.00141945,0.00141945
14,104.584,1.26564,1.09904,1.55409,0.80095,0.69628,0.76565,0.46397,1.36738,1.13724,1.80054,0.00139882,0.00139882,0.00139882
15,112.225,1.28227,1.06726,1.54624,0.77373,0.67728,0.77983,0.46063,1.4448,1.09276,1.85613,0.00137819,0.00137819,0.00137819
16,119.701,1.24338,1.03706,1.54813,0.76259,0.69216,0.78227,0.46189,1.41381,1.18497,1.84784,0.00135756,0.00135756,0.00135756
17,127.118,1.26187,1.05614,1.54077,0.79547,0.74209,0.80489,0.47822,1.39599,1.12823,1.8257,0.00133693,0.00133693,0.00133693
18,134.716,1.21987,1.01763,1.53407,0.74656,0.65734,0.71278,0.37985,1.61798,1.33825,2.08776,0.0013163,0.0013163,0.0013163
19,142.111,1.24128,1.01225,1.52033,0.86314,0.68456,0.79566,0.478,1.34927,1.11279,1.7858,0.00129568,0.00129568,0.00129568
20,149.592,1.1771,0.98178,1.50313,0.74408,0.72755,0.78086,0.47471,1.37606,1.12819,1.8275,0.00127505,0.00127505,0.00127505
21,157.056,1.23626,1.00343,1.52965,0.67602,0.67993,0.72836,0.4303,1.42621,1.19549,1.83434,0.00125442,0.00125442,0.00125442
22,164.261,1.20764,0.95842,1.51643,0.82828,0.72366,0.81053,0.47995,1.37473,0.99909,1.80577,0.00123379,0.00123379,0.00123379
23,171.795,1.22107,1.00534,1.51289,0.77266,0.71581,0.79,0.48668,1.38976,1.06708,1.81404,0.00121316,0.00121316,0.00121316
24,179.292,1.20713,0.96257,1.51465,0.69735,0.58769,0.66948,0.39421,1.53666,1.27484,1.97344,0.00119253,0.00119253,0.00119253
25,186.785,1.19053,0.97748,1.50081,0.77388,0.6788,0.7521,0.45862,1.36948,1.09811,1.7861,0.0011719,0.0011719,0.0011719
26,194.284,1.16095,0.94534,1.4812,0.81202,0.73389,0.79231,0.47892,1.39131,1.01407,1.83275,0.00115127,0.00115127,0.00115127
27,201.689,1.17149,0.9392,1.49164,0.80509,0.73252,0.79487,0.49647,1.36927,1.01683,1.80289,0.00113064,0.00113064,0.00113064
28,209.064,1.16719,0.91994,1.4984,0.76542,0.75169,0.77526,0.48705,1.35475,1.01263,1.78501,0.00111001,0.00111001,0.00111001
29,216.349,1.14922,0.91883,1.47223,0.80109,0.75193,0.81788,0.51997,1.30375,0.97441,1.74818,0.00108938,0.00108938,0.00108938
30,223.95,1.15854,0.89869,1.47551,0.82407,0.73799,0.80597,0.50895,1.31711,0.95841,1.76282,0.00106876,0.00106876,0.00106876
31,231.36,1.14579,0.88343,1.47215,0.78351,0.67899,0.76851,0.4861,1.36777,1.04856,1.79741,0.00104813,0.00104813,0.00104813
32,238.668,1.14799,0.88667,1.46388,0.7414,0.76848,0.79425,0.49587,1.36496,1.00788,1.78639,0.0010275,0.0010275,0.0010275
